Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y,intent,tone,resolution
23555,65977,,support.pt@aspiegel.com,Appallery Problems and Suggestions,Describe I understand DNS never work that they can help me informs of contact sent from my telem Veldescriptation don Understand Why dns is never Working Can You Help Me Contact Information Sent from My Cell Phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server,,,Problem/Fault,Problem/Fault,General,Cannot connect - Server
23534,65883,,support.pt@aspiegel.com,Appgallery problems and suggestions,Description Komit SSt does not install contact information from my Huawei phone sent,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,,Can't install Apps,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,
23477,65661,,support.pt@aspiegel.com,appgallery problems and suggestions,Huawi Hi We Appreciate Your Contact Our Support Representatives Will Check Your Message And Get Back To You As Soon as Appreciate Your Patience and Cooperation Sincerely Aspiegel Aspiegel If Is Company Incorporated the Laws of Ireland Headquarted in Dublin Ireland Ireland Ireland Ireland If Is the Huawei Mobile Services Provider for Huawei and Honor Device Owners in Europe Huawi Health OL Agra Emos Your Contact Our Support Representatives IR Check out your message as soon as possible AGRAIZE PAIZE collaborates Sincerely Customer Support Team Aspiegel Aspiegel If a company is according to Ireland's Irish Irish laws ASPIEGEL If Huawei Mobile Services provider for Huawei Honor device owners in Canad Europe Austr Lia Zel ndia Other PA SES,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23452,65616,,support.pt@aspiegel.com,Appallery Problems and Suggestions,Description can install contact information describe n d to install contacts of contact sent from my telem vel huawei,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23429,65569,,support.pt@aspiegel.com,Appallery Problems and Suggestions,description of the note,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23395,65482,,support.pt@aspiegel.com,Appgallery Problems and solutions,Description in the Are am there is no Connection Fastweb Devices and We have Difficulties with Calls No Connection to the Internet Contact Sention sent from My Huawei TableTDescription in the area in which I find myself non -connection Fastweb devices and we have difficulties with calls no Internet connection contact information sent by my Huawei tablet tablet,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23230,65024,,support.pt@aspiegel.com,AppGallery problems and suggestions,description what up contact info sent from my phone huawei what up huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23229,65022,,support.pt@aspiegel.com,AppGallery problems and suggestions,what up huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23212,64982,,support.pt@aspiegel.com,AppGallery problems and suggestions,ok what up huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23194,64946,,support.pt@aspiegel.com,appgallery problems and suggestions,Description Installation Error Contact Information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23193,64944,,support.pt@aspiegel.com,appgallery problems and suggestions,Description Installation Error Contact Information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23189,64938,,support.pt@aspiegel.com,AppGallery problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,Suggestion,General,Personal data
23188,64936,,support.pt@aspiegel.com,AppGallery problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,Suggestion,General,Personal data
23056,64550,44805.93403,support.pt@aspiegel.com,appgallery problems and suggestions,description my phone data and privacy is insecure all apps and accounts are copied and shared by third parties without my consent wish to report that everything used here is still not private as we speak m scared and frustrated about this issue contact information,AppGallery &amp; Games / Report a scam or fraud ,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,Suggestion,General,Personal data
23055,64549,44805.91319,support.pt@aspiegel.com,appgallery problems and suggestions,"Description No installation, contact information",AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23054,64548,44805.91319,support.pt@aspiegel.com,appgallery problems and suggestions,Description No Installation Possible Contact Information Description No installation Possibility of installation contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23052,64544,44805.88819,support.pt@aspiegel.com,Appgallery problems and suggestions,IM Information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,General,AppGallery not loading,,,Problem/Fault,Problem/Fault,General,AppGallery not loading
23050,64542,44805.87361,support.eu@aspiegel.com,od: full refund from first day,already sent to them mail twice with reminder two weeks ago but they never replied they fixed bug after was impacted and they want to shut it down to be silence as we see kindly asking to make refund because of this situation for your support to making it possible kind regards client od full refund from first day we appreciate you patience our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund you can provide that proof to us you should be able to contact the customer support of the game on https aihelp net privacypolicy or customer service if you have further game issue you also can directly contact our dedicated game operation staff through discord channel here is the discord link poland https discord gg tkyzc cagu that serves your country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely ramon od full refund from first day thanks you for feedback perfectly understand this but what in case when the products is not as advertised and not functioning there is perfect example of it all because last big issue on devs side for positive feedback in this situation kind regards wys ano telefonu wiadomo od data wt sie do temat full refund from first day we have carefully review your request and unfortunately we have concluded that you are not quality for refund this time accordingly to the walking dead user agreement the refund of the payments can be provided once the items are successfully delivered to the gamer account please be aware that he purchase date back to therefore you have used the items purchased and there is no way of recollecting them for understanding sincerely ramon full refund from first day hope youre well accordingly to twd survivors where bought products is not as advertised and not functioning im asking for full refund since first day there is no fair and bugged competition which affects the gampley example last rzt vs match regarding to all isues kindly requesting for full refund in the first line below transactions ad db pln pw bf pln ad pln ad dc ed pln ad pln ad bc pln ad dc pln ad dcdac pln ad edc pln pw fcb pln ad pln ad dbd pln pw pln pw pln pw a pln c pln bda pln pw pln pw b pln ad ff pln ad bd cff pln be pln ad pln ad cb pln ad pln ad b pln thanks all of you for great cooperation wys ano telefonu huawei,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault,Third Party APPs,Refund
23049,64540,44805.85139,support.pt@aspiegel.com,Appgallery Problems and Recommendations,Description Failed to Install Update Mi Vydeoplayer Contact Information Description Failed In Talacia Updia CIE MI Mi vydeoplayer Contact Information Call,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
23047,64532,44805.83333,support.eu@aspiegel.com,unreceived huawei points,it is ok don request anything you close the ticket thanks nderildi eyl per embe kime konu ynt unreceived we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23046,64531,44805.83194,support.eu@aspiegel.com,,PRODUCT APPGALLERY GAMES REQUESTS OHER REQUESTS CONTACT FULL NAME MIGUEL LOSADA SEOANE PHONE NUMBE CONTACT EMAIL ADDRESS HUAWEI ID ACCOUNT SUM OF THE ISSUE I AM SERIED A HUAWEI SCALE BECAUSE GANO A SAME BUT SOSupport Copyright Aspiegel,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23044,64525,44805.82222,support.pt@aspiegel.com,Appgallery problems and suggestions,Description I have a bale cell phone does not let me uninstall anything at all contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery
23029,64464,44805.70347,support.eu@aspiegel.com,refund request,did and all they did days soft ban which is ridiculous from date thu pm to subject refund request we advise you to contact the developers for your refund request for your understanding sincerely alexandru refund request that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject refund request we have checked with our internal team the huawei id and all the transactions took place more than days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get feedback from their side also because we understand precisely what you mean with illegal payment for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru refund request huawei id video of charge https youtube com shorts nppd mzfgpg feature share unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id for your understanding and cooperation sincerely alexandru refund request screenshot com huawei hwid jpg svid mp we hope you re doing well will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information screenshot or record video of the charge your huawei id app gallery hms core open then take screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru refund request the game is allowing illegal third party transactions and it not fair for players purchasing through legal and legit platforms to recharge so demand at least partial refund from the app kingdom guard,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault,Third Party APPs,Refund
23025,64447,44805.68333,support.eu@aspiegel.com,unreceived huawei points,again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderen nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23025,64468,44805.71458,support.eu@aspiegel.com,unreceived huawei points,we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin ynt unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderen nderildi eyl per embe kime konu,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23024,64446,44805.68264,support.pt@aspiegel.com,Appgallery questions and suggestions,Description PB connection to wifi and mobile data contact information sent from my mobile huawei,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion,Suggestion,AppGallery-Use,Others
23024,64465,44805.70556,support.pt@aspiegel.com,Appgallery questions and suggestions,Dear customer thank you to have contact aspiegel we are that you are well going to this email is about your concern concerning your problem with appgallery in order to be able to deepen in -depth you can do you provide us with the following ments a description of the problem a notch or a recording vid of error when the problem is produced your identifier Huawei app gallery hms core open then make a CRAN TheRO SN De your apparatus version app gallery huawei app gallery me Vous Version de HMS CO HUAWEI APP GALLY HMS CORE CORE OPEN PARAM VERY APPLICATION APPLICATION APPLINE APPLINE LE JOURNAL DE APP GALLERY Thank you for other questions H SITEZ NOT MAKE THIS DISCUSTRY AND WE WILL GOOD TO GUID TRAY YOUR DOSTS CONSTRUS CONSIDENCE CORDIAL ASPEGEL ASPEGEL ASPEGEL ASPEGELSegundo as leis da Irlanda com sede em irlanda appgallery questions and suggestions Description PB connection to wifi and mobile data contact information sent from my mobile huawei,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion,Suggestion,AppGallery-Use,Others
23021,64426,44805.64931,support.pt@aspiegel.com,AppGallery Problems and Suggges AppGallery Problems and Offers,huawei,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23017,64414,44805.63333,support.eu@aspiegel.com,refund request,that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject refund request we have checked with our internal team the huawei id and all the transactions took place more than days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get feedback from their side also because we understand precisely what you mean with illegal payment for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru refund request huawei id video of charge https youtube com shorts nppd mzfgpg feature share unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id for your understanding and cooperation sincerely alexandru refund request screenshot com huawei hwid jpg svid mp we hope you re doing well will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information screenshot or record video of the charge your huawei id app gallery hms core open then take screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru refund request the game is allowing illegal third party transactions and it not fair for players purchasing through legal and legit platforms to recharge so demand at least partial refund from the app kingdom guard,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault,Third Party APPs,Refund
23017,64443,44805.67847,support.eu@aspiegel.com,refund request,we advise you to contact the developers for your refund request for your understanding sincerely alexandru refund request that is very unfortunate because ve been contacting paypal and huawei for the past few months and never gotten and reply until found out this email did report it to the game developer but they ided to only soft ban those people for days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform from date thu pm to subject,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault,Third Party APPs,Refund
23012,64379,44805.6125,support.pt@aspiegel.com,appgallery problems and suggestions,description haiii buba contact information beyekeita sent from my phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23012,64388,44805.61736,support.eu@aspiegel.com,informations,we hope you re doing well in order to give you the best solution could you please clarify your request with following information description of the issue screenshot or record video of error when issue happened your huawei id app gallery hms core open then take screenshot your phone model sn number of your device app gallery version huawei app gallery me about hms core version huawei app gallery hms core open settings about related app related app version the log of app gallery if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts with kind regards ian appgallery problems and suggestions description haiii buba contact information beyekeita sent from my phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
23007,64360,44805.60556,support.eu@aspiegel.com,unreceived huawei points,have recently made an in game purchase world of tanks blitz but haven received huawei points because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23007,64396,44805.62014,support.eu@aspiegel.com,unreceived huawei points,we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23003,64352,44805.58333,support.pt@aspiegel.com,Appgallery Problems and Suggestions,Description does not go to install stumble guys Contact information sent from my Huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23003,64386,44805.61736,support.pt@aspiegel.com,Appgallery Problems and Suggestions,Dear Client Mulim has contacted Aspiegel I hope that you feel good to give you the best solution ask to specify your request with the following information description of the screenshot or video recording the time that appears the problem of the huawei huwei hms core then opens a screen capture the model of your phone number of your device app.Gallery me About About the HMS CO Huawei version App Gallery Hms Core Open Settings About Cone Exex Application version of the related application gallery if you have additional questions to tell this mail message we will be happy to help with the special consideration Andrea AsaGel Seed Empress.Ireland Appgallery Problems Suggestions Description Don't Walk Install Stumble Guys Information Contact sent from my Huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion,Suggestion,AppGallery-Use,Others
23002,64348,44805.57361,support.eu@aspiegel.com,,product in app purchase requests view change or cancel subscriptions contact full name lukas pur phone numbe contact email address sum of the issue have problem with music player app jetaudio bought the app long time ago from play store long before id was thing and after last phone update am reqired to buy it again via id home news events products partners support copyright aspiegel se,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others,,
